codigo,nome
113476,ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES
117251,ARQUITETURA DE PROCESSADORES DIGITAIS
116882,AUTÔMATOS E COMPUTABILIDADE
116378,BANCOS DE DADOS
116351,CIRCUITOS DIGITAIS
116441,ENGENHARIA DE SOFTWARE
207438,ESTÁGIO SUPERVISIONADO EM ENGENHARIA DE COMPUTAÇÃO 1
207314,ESTÁGIO SUPERVISIONADO EM ENGENHARIA DE COMPUTAÇÃO 2
116319,ESTRUTURAS DE DADOS
116521,ESTUDOS EM COMPUTACAO MULTIMIDIA
116661,ESTUDOS EM INTELIGENCIA ARTIFICIAL
116629,ESTUDOS EM SISTEMAS DE COMPUTACAO
116734,ESTUDOS EM SISTEMAS DE INFORMACAO
113492,FORMAÇÃO DOCENTE EM COMPUTAÇÃO
200379,FUNDAMENTOS COMPUTACIONAIS DE ROBÓTICA
113450,FUNDAMENTOS TEÓRICOS DA COMPUTAÇÃO
204331,GERÊNCIA E SEGURANÇA DE REDES
116726,INFORMATICA E SOCIEDADE
113913,INTRODUCAO A CIENCIA DA COMPUTACAO
117528,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO
116793,INTRODUCAO A MICROINFORMATICA
117315,INTRODUÇÃO À PROGRAMAÇÃO PARALELA
113468,INTRODUÇÃO AOS SISTEMAS COMPUTACIONAIS
116343,LINGUAGENS DE PROGRAMACAO
117366,LÓGICA COMPUTACIONAL 1
201600,MÉTODOS DE PROGRAMAÇÃO
117196,MODELAGEM ORIENTADA A OBJETOS
116068,NOCOES DE SISTEMAS OPERACIONAIS
116327,ORGANIZAÇÃO DE ARQUIVOS
116394,ORGANIZACAO E ARQUITETURA DE COMPUTADORES
117609,PROCESSAMENTO DE SINAIS MULTIMÍDIA
116599,PROCESSAMENTO EM TEMPO REAL
116840,PROJETO DE LICENCIATURA
116891,PROJETO DE LICENCIATURA 1
116904,PROJETO DE LICENCIATURA 2
117536,PROJETO E ANÁLISE DE ALGORITMOS
207322,PROJETO FINAL EM ENGENHARIA DE COMPUTAÇÃO 1
207331,PROJETO FINAL EM ENGENHARIA DE COMPUTAÇÃO 2
116572,REDES DE COMPUTADORES
116530,SEGURANCA DE DADOS
206075,SINAIS E SISTEMAS
116416,SISTEMAS DE INFORMACAO
117391,SISTEMAS DIGITAIS INTEGRADOS
116467,SISTEMAS OPERACIONAIS
116432,SOFTWARE BASICO
117889,TECNICAS DE PROGRAMAÇÃO 1
204315,TELEINFORMÁTICA E REDES 1
204323,TELEINFORMÁTICA E REDES 2
116360,TEORIA DA COMPUTACAO
116823,TEORIA E PRATICA PEDAGOGICA EM INFORMATICA 1
116831,TEORIA E PRATICA PEDAGOGICA EM INFORMATICA 2
116297,TOPICOS AVANCADOS EM COMPUTADORES
116475,TRABALHO DE GRADUACAO
116912,TRABALHO DE GRADUAÇÃO 1
116921,TRABALHO DE GRADUAÇÃO 2
116459,TRADUTORES
116424,TRANSMISSÃO DE DADOS
